"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"SL/000858","SL/000858_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Establishment of Water Supply Management System in Kambia District","2007-01-01","start-actual","2008-12-23","end-actual","Japanese International Cooperation Agency (JICA)","JPN","Sierra Leone","SLE","140","Water Supply and Sanitation","14020","Water supply and sanitation - large systems","Completion","2007","2008","1058019.0","1058019.0","529009.5","529009.5"
"SL/000858","SL/000858_9180411","2","9180411","Magbema","9.04903","-12.88352","ADM3","third-order administrative division","6295630|6255146|SL|02|9180411","Earth|Africa|Sierra Leone|Northern Province|Magbema","1","1","1","Establishment of Water Supply Management System in Kambia District","2007-01-01","start-actual","2008-12-23","end-actual","Japanese International Cooperation Agency (JICA)","JPN","Sierra Leone","SLE","140","Water Supply and Sanitation","14020","Water supply and sanitation - large systems","Completion","2007","2008","1058019.0","1058019.0","529009.5","529009.5"
"SL/001413","SL/001413_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Sustainable Rice Development Project","2010-10-05","start-actual","2014-10-05","","Japanese International Cooperation Agency (JICA)","JPN","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Implementation","2010","2014","3138846.0","3138846.0","3138846.0","3138846.0"
"SL/001554","SL/001554_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Despatch of Expert on Water Supply Management for Rural Towns","2012-02-01","start-actual","2013-03-31","","Japanese International Cooperation Agency (JICA)","JPN","Sierra Leone","SLE","140","Water Supply and Sanitation","14000","Water Supply and Sanitation, combination of purposes","Completion","2012","2013","542898.0","300993.0","542898.0","300993.0"
"SL/001728","SL/001728_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Service Contract - ICS/ 149.4km roads Kambia","2013-02-20","start-actual","2013-03-24","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Completion","2013","2013","51241.0","51241.0","51241.0","51241.0"
"SL/001651","SL/001651_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Works Contract - Landmark Construction/Kambia","2010-05-06","start-actual","2012-12-13","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2010","2012","115479.0","115479.0","115479.0","115479.0"
"SL/001656","SL/001656_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Works Contract - Landmark Construction/Kambia Lot 2","2010-07-05","start-actual","2012-12-14","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2010","2012","45127.0","45127.0","45127.0","45127.0"
"SL/001510","SL/001510_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Health Supportive Supervision Advisor (Expert)","2011-06-26","start-actual","2012-03-31","","Japanese International Cooperation Agency (JICA)","JPN","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2011","2012","442824.0","442524.0","442824.0","442524.0"
"SL/001106","SL/001106_2409983","3","2409983","Bombali District","9.28444","-12.16449","ADM2","second-order administrative division","6295630|6255146|SL|02|2409983","Earth|Africa|Sierra Leone|Northern Province|Bombali District","1","1","1","SL-Support  to Basic Education - CARITAS Makeni School Rehabilitation/Reconstruction Project","2008-03-04","start-actual","2012-06-30","","World Bank","DAC","Sierra Leone","SLE","111","Education, level unspecified","11120","Education facilities and training","Completion","2008","2012","490589.0","490589.0","490589.0","490589.0"
"SL/001713","SL/001713_2409983","3","2409983","Bombali District","9.28444","-12.16449","ADM2","second-order administrative division","6295630|6255146|SL|02|2409983","Earth|Africa|Sierra Leone|Northern Province|Bombali District","1","1","1","Sustainable Improvement of Food Security in North Bombali district","2013-07-05","start-actual","2014-12-31","","European Union (EU)","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Implementation","2013","2014","303884.0","303884.0","303884.0","303884.0"
"SL/001717","SL/001717_2409983","3","2409983","Bombali District","9.28444","-12.16449","ADM2","second-order administrative division","6295630|6255146|SL|02|2409983","Earth|Africa|Sierra Leone|Northern Province|Bombali District","1","1","1","Improvement in rural communities local and institutional actors capacities to management and sustain their access to basic health services, sanitation and water supply - South Bombali district","2013-04-01","start-actual","2014-12-31","","European Union (EU)","DAC","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Implementation","2013","2014","201473.0","201473.0","201473.0","201473.0"
"SL/001235","SL/001235_9179950","3","9179950","Western Area Rural","8.32319","-13.09485","ADM2","second-order administrative division","6295630|6255146|SL|04|9179950","Earth|Africa|Sierra Leone|Western Area|Western Area Rural","1","1","1","Refugees  in Rural Areas in Sierra Leone","2010-01-01","start-actual","2010-12-31","","UNHCR","DAC","Sierra Leone","SLE","140|430|151|140|311","Water Supply and Sanitation|Other|Government and civil society, general|Water Supply and Sanitation|Agriculture","14020|43040|15140|14020|31120","Water supply and sanitation - large systems|Rural development|Government administration|Water supply and sanitation - large systems|Agricultural development","Completion","2010","2010","1838371.0","1781177.0","306395.166667","296862.833333"
"SL/001235","SL/001235_9180352","2","9180352","Nongowa","7.90338","-11.16301","ADM3","third-order administrative division","6295630|6255146|SL|01|9180352","Earth|Africa|Sierra Leone|Eastern Province|Nongowa","1","1","1","Refugees  in Rural Areas in Sierra Leone","2010-01-01","start-actual","2010-12-31","","UNHCR","DAC","Sierra Leone","SLE","140|430|151|140|311","Water Supply and Sanitation|Other|Government and civil society, general|Water Supply and Sanitation|Agriculture","14020|43040|15140|14020|31120","Water supply and sanitation - large systems|Rural development|Government administration|Water supply and sanitation - large systems|Agricultural development","Completion","2010","2010","1838371.0","1781177.0","306395.166667","296862.833333"
"SL/001235","SL/001235_9180363","2","9180363","Small Bo","7.85651","-11.32867","ADM3","third-order administrative division","6295630|6255146|SL|01|9180363","Earth|Africa|Sierra Leone|Eastern Province|Small Bo","1","1","1","Refugees  in Rural Areas in Sierra Leone","2010-01-01","start-actual","2010-12-31","","UNHCR","DAC","Sierra Leone","SLE","140|430|151|140|311","Water Supply and Sanitation|Other|Government and civil society, general|Water Supply and Sanitation|Agriculture","14020|43040|15140|14020|31120","Water supply and sanitation - large systems|Rural development|Government administration|Water supply and sanitation - large systems|Agricultural development","Completion","2010","2010","1838371.0","1781177.0","306395.166667","296862.833333"
